t,front_dist,vcmd
0.05,2.943,0.0
0.1,2.946,0.0
0.15,2.941,0.0
0.2,2.937,0.0
0.25,2.943,0.0
0.3,2.941,0.0
0.35,2.947,0.0
0.4,2.941,0.0
0.45,2.946,0.0
0.5,2.942,0.0
0.55,2.937,0.0
0.6,2.936,0.0
0.65,2.947,0.0
0.7,2.948,0.0
0.75,2.946,0.0
0.8,2.948,0.0
0.85,2.948,0.0
0.9,2.933,0.0
0.95,2.939,0.0
1.0,2.943,0.0
1.05,2.943,0.0
1.1,2.941,0.0
1.15,2.943,0.0
1.2,2.928,0.0
1.25,2.952,0.0
1.3,2.934,0.0
1.35,2.941,0.0
1.4,2.936,0.0
1.45,2.939,0.0
1.5,2.953,0.0
1.55,2.94,0.0
1.6,2.951,0.0
1.65,2.943,0.0
1.7,2.941,0.0
1.75,2.938,0.0
1.8,2.949,0.0
1.85,2.935,0.0
1.9,2.942,0.0
1.95,2.947,0.0
2.0,2.94,0.0
2.05,2.938,0.0
2.1,2.943,0.0
2.15,2.948,0.0
2.2,2.947,0.0
2.25,2.946,0.0
2.3,2.939,0.0
2.35,2.946,0.0
2.4,2.952,0.0
2.45,2.941,0.0
2.5,2.931,0.0
2.55,2.941,0.236
2.6,2.942,0.265
2.65,2.945,0.293
2.7,2.939,0.323
2.75,2.941,0.352
2.8,2.95,0.381
2.85,2.95,0.398
2.9,2.943,0.415
2.95,2.941,0.429
3.0,2.944,0.439
3.05,2.952,0.449
3.1,2.945,0.456
3.15,2.93,0.454
3.2,2.945,0.462
3.25,2.948,0.469
3.3,2.939,0.473
3.35,2.938,0.477
3.4,2.947,0.48
3.45,2.939,0.483
3.5,2.936,0.485
3.55,2.947,0.487
3.6,2.949,0.489
3.65,2.951,0.491
3.7,2.939,0.492
3.75,2.952,0.498
3.8,2.945,0.498
3.85,2.937,0.499
3.9,2.936,0.499
3.95,2.935,0.499
4.0,2.933,0.499
4.05,2.947,0.499
4.1,2.946,0.499
4.15,2.945,0.499
4.2,2.945,0.499
4.25,2.951,0.5
4.3,2.945,0.5
4.35,2.951,0.5
4.4,2.939,0.454
4.45,2.935,0.46
4.5,2.946,0.465
4.55,2.941,0.471
4.6,2.939,0.476
4.65,2.939,0.48
4.7,2.945,0.483
4.75,2.938,0.486
4.8,2.938,0.488
4.85,2.932,0.489
4.9,2.943,0.491
4.95,2.935,0.492
5.0,2.946,0.493
5.05,2.945,0.421
5.1,2.946,0.432
5.15,2.946,0.443
5.2,2.951,0.452
5.25,2.948,0.46
5.3,2.942,0.466
5.35,2.947,0.472
5.4,2.95,0.476
5.45,2.943,0.479
5.5,2.939,0.482
5.55,2.947,0.485
5.6,2.943,0.486
5.65,2.942,0.488
5.7,2.943,0.459
5.75,2.947,0.465
5.8,2.944,0.471
5.85,2.951,0.475
5.9,2.949,0.479
5.95,2.943,0.483
6.0,2.949,0.485
6.05,2.947,0.487
6.1,2.951,0.489
6.15,2.939,0.491
6.2,2.945,0.492
6.25,2.935,0.493
6.3,2.936,0.487
6.35,2.939,0.489
6.4,2.943,0.49
6.45,2.945,0.492
6.5,2.938,0.493
6.55,2.945,0.494
6.6,2.944,0.495
6.65,2.931,0.496
6.7,2.939,0.496
6.75,2.944,0.497
6.8,2.929,0.497
6.85,2.934,0.498
6.9,2.946,0.498
6.95,2.949,0.497
7.0,2.943,0.497
7.05,2.949,0.498
7.1,2.944,0.498
7.15,2.94,0.498
7.2,2.944,0.499
7.25,2.947,0.499
7.3,2.939,0.499
7.35,2.933,0.499
7.4,2.943,0.499
7.45,2.941,0.499
7.5,2.945,0.499
7.55,2.935,0.462
7.6,2.947,0.466
7.65,2.946,0.471
7.7,2.947,0.476
7.75,2.935,0.479
7.8,2.948,0.483
7.85,2.938,0.485
7.9,2.942,0.487
7.95,2.95,0.489
8.0,2.94,0.49
8.05,2.942,0.492
8.1,2.937,0.493
8.15,2.943,0.494
8.2,2.946,0.434
8.25,2.944,0.439
8.3,2.937,0.448
8.35,2.94,0.455
8.4,2.946,0.461
8.45,2.941,0.466
8.5,2.93,0.472
8.55,2.948,0.476
8.6,2.95,0.479
8.65,2.935,0.482
8.7,2.947,0.484
8.75,2.939,0.486
8.8,2.949,0.488
8.85,2.944,0.499
8.9,2.941,0.499
8.95,2.938,0.499
9.0,2.947,0.499
9.05,2.935,0.499
9.1,2.943,0.5
9.15,2.945,0.5
9.2,2.942,0.5
9.25,2.948,0.5
9.3,2.936,0.5
9.35,2.944,0.5
9.4,2.934,0.5
9.45,2.939,0.5
9.5,2.946,0.499
9.55,2.947,0.499
9.6,2.949,0.499
9.65,2.939,0.5
9.7,2.935,0.5
9.75,2.949,0.5
9.8,2.946,0.5
9.85,2.945,0.5
9.9,2.949,0.5
9.95,2.953,0.5
10.0,2.931,0.5
10.05,2.939,0.5
10.1,2.938,0.499
10.15,2.946,0.499
10.2,2.945,0.499
10.25,2.948,0.499
10.3,2.937,0.5
10.35,2.943,0.5
10.4,2.953,0.5
10.45,2.945,0.5
10.5,2.936,0.5
10.55,2.943,0.5
10.6,2.939,0.5
10.65,2.929,0.5
10.7,2.949,0.5
10.75,2.951,0.444
10.8,2.936,0.452
10.85,2.945,0.46
10.9,2.944,0.465
10.95,2.953,0.471
11.0,2.943,0.475
11.05,2.943,0.479
11.1,2.933,0.482
11.15,2.937,0.484
11.2,2.949,0.486
11.25,2.95,0.488
11.3,2.951,0.49
11.35,2.943,0.435
11.4,2.941,0.445
11.45,2.934,0.454
11.5,2.931,0.462
11.55,2.948,0.468
11.6,2.946,0.474
11.65,2.92,0.478
11.7,2.944,0.482
11.75,2.947,0.485
11.8,2.945,0.487
11.85,2.942,0.489
11.9,2.947,0.491
11.95,2.945,0.496
12.0,2.95,0.497
12.05,2.933,0.498
12.1,2.952,0.498
12.15,2.932,0.498
12.2,2.932,0.499
12.25,2.942,0.499
12.3,2.941,0.499
12.35,2.938,0.499
12.4,2.956,0.499
12.45,2.935,0.499
12.5,2.941,0.499
12.55,2.947,0.499
12.6,2.941,0.5
12.65,2.948,0.5
12.7,2.936,0.5
12.75,2.942,0.5
12.8,2.944,0.5
12.85,2.939,0.5
12.9,2.948,0.5
12.95,2.944,0.5
13.0,2.94,0.5
13.05,2.936,0.5
13.1,2.945,0.5
13.15,2.951,0.5
13.2,2.945,0.499
13.25,2.94,0.499
13.3,2.94,0.499
13.35,2.935,0.499
13.4,2.945,0.499
13.45,2.944,0.499
13.5,2.936,0.5
13.55,2.94,0.5
13.6,2.941,0.5
13.65,2.94,0.5
13.7,2.934,0.5
13.75,2.951,0.5
13.8,2.947,0.444
13.85,2.946,0.451
13.9,2.94,0.46
13.95,2.943,0.467
14.0,2.94,0.472
14.05,2.931,0.476
14.1,2.942,0.479
14.15,2.944,0.482
14.2,2.946,0.485
14.25,2.942,0.486
14.3,2.938,0.488
14.35,2.951,0.49
14.4,2.948,0.491
14.45,2.952,0.434
14.5,2.95,0.444
14.55,2.94,0.452
14.6,2.935,0.459
14.65,2.949,0.466
14.7,2.948,0.472
14.75,2.939,0.477
14.8,2.949,0.481
14.85,2.935,0.484
14.9,2.936,0.486
14.95,2.934,0.488
15.0,2.938,0.49
15.05,2.942,0.492
15.1,2.94,0.497
15.15,2.952,0.498
15.2,2.94,0.498
15.25,2.938,0.498
15.3,2.941,0.499
15.35,2.936,0.499
15.4,2.942,0.499
15.45,2.95,0.499
15.5,2.947,0.499
15.55,2.945,0.499
15.6,2.927,0.499
15.65,2.945,0.5
15.7,2.936,0.5
15.75,2.945,0.499
15.8,2.949,0.499
15.85,2.944,0.499
15.9,2.947,0.499
15.95,2.935,0.5
16.0,2.943,0.5
16.05,2.941,0.5
16.1,2.951,0.5
16.15,2.919,0.5
16.2,2.942,0.5
16.25,2.946,0.5
16.3,2.947,0.5
16.35,2.925,0.499
16.4,2.939,0.499
16.45,2.947,0.499
16.5,2.946,0.499
16.55,2.939,0.499
16.6,2.931,0.499
16.65,2.943,0.499
16.7,2.947,0.5
16.75,2.938,0.5
16.8,2.943,0.5
16.85,2.944,0.5
16.9,2.936,0.5
16.95,2.941,0.5
17.0,2.947,0.436
17.05,2.943,0.443
17.1,2.94,0.453
17.15,2.936,0.46
17.2,2.947,0.467
17.25,2.941,0.472
17.3,2.943,0.475
17.35,2.94,0.478
17.4,2.953,0.481
17.45,2.948,0.483
17.5,2.944,0.486
17.55,2.944,0.487
17.6,2.933,0.488
17.65,2.949,0.418
17.7,2.948,0.428
17.75,2.94,0.442
17.8,2.945,0.452
17.85,2.943,0.46
17.9,2.928,0.465
17.95,2.942,0.472
18.0,2.941,0.477
18.05,2.942,0.481
18.1,2.944,0.483
18.15,2.938,0.486
18.2,2.934,0.488
18.25,2.937,0.496
18.3,2.936,0.497
18.35,2.94,0.497
18.4,2.937,0.498
18.45,2.947,0.498
18.5,2.944,0.498
18.55,2.929,0.499
18.6,2.949,0.499
18.65,2.931,0.499
18.7,2.933,0.499
18.75,2.947,0.499
18.8,2.942,0.499
18.85,2.941,0.499
18.9,2.952,0.498
18.95,2.947,0.498
19.0,2.947,0.499
19.05,2.94,0.499
19.1,2.942,0.499
19.15,2.941,0.499
19.2,2.939,0.499
19.25,2.938,0.499
19.3,2.943,0.5
19.35,2.938,0.5
19.4,2.941,0.5
19.45,2.941,0.5
19.5,2.948,0.5
19.55,2.944,0.438
19.6,2.942,0.447
19.65,2.941,0.456
19.7,2.948,0.463
19.75,2.933,0.469
19.8,2.952,0.474
19.85,2.947,0.478
19.9,2.94,0.481
19.95,2.944,0.484
20.0,2.944,0.486
20.05,2.938,0.488
20.1,2.936,0.489
20.15,2.932,0.442
20.2,2.942,0.449
20.25,2.94,0.457
20.3,2.942,0.464
20.35,2.941,0.469
20.4,2.939,0.472
20.45,2.952,0.476
20.5,2.938,0.48
20.55,2.941,0.483
20.6,2.952,0.485
20.65,2.94,0.487
20.7,2.94,0.489
20.75,2.949,0.49
20.8,2.949,0.135
20.85,2.935,0.159
20.9,2.943,0.198
20.95,2.946,0.234
21.0,2.928,0.272
21.05,2.945,0.303
21.1,2.946,0.333
21.15,2.939,0.359
21.2,2.943,0.386
21.25,2.935,0.408
21.3,2.94,0.42
21.35,2.942,0.431
21.4,2.939,0.405
21.45,2.933,0.419
21.5,2.952,0.43
21.55,2.939,0.441
21.6,2.942,0.451
21.65,2.948,0.459
21.7,2.941,0.465
21.75,2.943,0.47
21.8,2.946,0.474
21.85,2.947,0.477
21.9,2.939,0.481
21.95,2.938,0.483
22.0,2.947,0.488
22.05,2.943,0.49
22.1,2.942,0.492
22.15,2.941,0.493
22.2,2.953,0.494
22.25,2.945,0.495
22.3,2.938,0.496
22.35,2.945,0.496
22.4,2.935,0.497
22.45,2.945,0.497
22.5,2.945,0.498
22.55,2.939,0.498
22.6,2.945,0.498
22.65,2.946,0.5
22.7,2.951,0.5
22.75,2.942,0.5
22.8,2.941,0.5
22.85,2.946,0.5
22.9,2.938,0.5
22.95,2.951,0.5
23.0,2.942,0.5
23.05,2.94,0.5
23.1,2.942,0.5
23.15,2.943,0.5
23.2,2.942,0.5
23.25,2.953,0.5
23.3,2.944,0.337
23.35,2.944,0.36
23.4,2.938,0.381
23.45,2.94,0.402
23.5,2.942,0.422
23.55,2.937,0.433
23.6,2.947,0.445
23.65,2.942,0.455
23.7,2.944,0.464
23.75,2.945,0.469
23.8,2.933,0.473
23.85,2.941,0.478
23.9,2.951,0.35
23.95,2.95,0.366
24.0,2.936,0.393
24.05,2.946,0.411
24.1,2.946,0.427
24.15,2.935,0.441
24.2,2.93,0.45
24.25,2.934,0.457
24.3,2.934,0.464
24.35,2.947,0.47
24.4,2.935,0.474
24.45,2.938,0.477
24.5,2.948,0.391
24.55,2.949,0.407
24.6,2.937,0.423
24.65,2.941,0.436
24.7,2.944,0.448
24.75,2.947,0.457
24.8,2.94,0.463
24.85,2.942,0.47
24.9,2.943,0.474
24.95,2.931,0.478
25.0,2.941,0.481
25.05,2.949,0.483
25.1,2.943,0.441
25.15,2.946,0.448
25.2,2.949,0.456
25.25,2.947,0.463
25.3,2.942,0.468
25.35,2.944,0.473
25.4,2.949,0.476
25.45,2.948,0.479
25.5,2.943,0.482
25.55,2.948,0.484
25.6,2.936,0.486
25.65,2.934,0.487
25.7,2.939,0.488
25.75,2.948,0.496
25.8,2.94,0.497
25.85,2.955,0.498
25.9,2.941,0.498
25.95,2.94,0.498
26.0,2.939,0.499
26.05,2.945,0.499
26.1,2.938,0.499
26.15,2.944,0.499
26.2,2.932,0.499
26.25,2.946,0.499
26.3,2.933,0.499
26.35,2.943,0.5
26.4,2.945,0.5
26.45,2.941,0.5
26.5,2.935,0.5
26.55,2.946,0.5
26.6,2.944,0.5
26.65,2.948,0.5
26.7,2.942,0.5
26.75,2.933,0.5
26.8,2.948,0.5
26.85,2.932,0.5
26.9,2.938,0.5
26.95,2.94,0.5
27.0,2.947,0.5
27.05,2.946,0.5
27.1,2.952,0.5
27.15,2.942,0.5
27.2,2.933,0.5
27.25,2.949,0.5
27.3,2.946,0.5
27.35,2.935,0.5
27.4,2.947,0.5
27.45,2.941,0.5
27.5,2.937,0.5
27.55,2.943,0.5
27.6,2.943,0.5
27.65,2.944,0.5
27.7,2.954,0.5
27.75,2.948,0.5
27.8,2.947,0.5
27.85,2.946,0.5
27.9,2.934,0.5
27.95,2.943,0.5
28.0,2.942,0.5
28.05,2.938,0.5
28.1,2.946,0.5
28.15,2.943,0.5
28.2,2.947,0.5
28.25,2.926,0.5
28.3,2.941,0.5
28.35,2.942,0.5
28.4,2.949,0.5
28.45,2.945,0.5
28.5,2.943,0.5
28.55,2.946,0.5
28.6,2.938,0.5
28.65,2.947,0.5
28.7,2.944,0.5
28.75,2.941,0.5
28.8,2.937,0.5
28.85,2.947,0.5
28.9,2.951,0.5
28.95,2.939,0.5
29.0,2.952,0.5
29.05,2.945,0.5
29.1,2.949,0.5
29.15,2.943,0.5
29.2,2.945,0.5
29.25,2.946,0.5
29.3,2.943,0.5
29.35,2.935,0.5
29.4,2.944,0.5
29.45,2.943,0.5
29.5,2.945,0.498
29.55,2.949,0.498
29.6,2.948,0.498
29.65,2.934,0.498
29.7,2.936,0.499
29.75,2.948,0.499
29.8,2.944,0.499
29.85,2.935,0.499
